User;Genre;Conf;Storytelling;Rhythm;Movements;Public Involvment;Use of space;Human characterization;Human reproducibility;
656e1ed4402d628e268816d8;5;0;3;4;5;4;3;4;4;
656e1ed4402d628e268816d8;5;1;3;3;4;4;3;4;4;
656e1ed4402d628e268816d8;5;2;3;3;4;3;3;4;4;
6131de3102b54b21bccdc7f7;1;0;1;1;1;1;1;1;4;
6131de3102b54b21bccdc7f7;1;1;3;1;2;1;1;2;5;
6131de3102b54b21bccdc7f7;1;2;1;1;1;1;1;2;4;
6131de3102b54b21bccdc7f7;5;0;2;2;3;1;1;1;3;
6131de3102b54b21bccdc7f7;5;1;5;3;3;1;1;2;3;
6131de3102b54b21bccdc7f7;5;2;4;2;4;1;1;1;2;
5aa18dc7dbdb470001ef2d72;2;0;1;1;3;1;2;3;4;
5aa18dc7dbdb470001ef2d72;2;1;1;3;2;1;2;3;4;
5aa18dc7dbdb470001ef2d72;2;2;1;3;1;1;2;2;4;
5aa18dc7dbdb470001ef2d72;3;0;1;1;2;1;1;2;4;
5aa18dc7dbdb470001ef2d72;3;1;1;4;2;1;2;1;4;
5aa18dc7dbdb470001ef2d72;3;2;1;3;2;1;1;2;4;
5c052f5d553fb800011912f1;2;0;2;2;3;3;2;4;4;
5c052f5d553fb800011912f1;2;1;2;2;3;2;2;3;4;
5c052f5d553fb800011912f1;2;2;2;4;3;4;2;3;4;
5c052f5d553fb800011912f1;3;0;3;2;3;4;2;3;3;
5c052f5d553fb800011912f1;3;1;2;3;2;3;3;3;3;
5c052f5d553fb800011912f1;3;2;3;3;3;4;4;3;2;
610d671491693e4ff410860c;2;0;3;2;2;4;1;3;5;
610d671491693e4ff410860c;2;1;2;2;1;2;1;2;2;
610d671491693e4ff410860c;2;2;2;2;2;3;2;3;3;
610d671491693e4ff410860c;3;0;1;1;1;3;2;2;3;
610d671491693e4ff410860c;3;1;1;1;1;2;1;2;3;
610d671491693e4ff410860c;3;2;1;1;2;2;1;2;3;
5aabc1b875d3c50001260cb0;2;0;3;4;2;4;5;3;4;
5aabc1b875d3c50001260cb0;2;1;4;3;3;3;4;4;5;
5aabc1b875d3c50001260cb0;2;2;3;2;2;3;3;2;4;
5aabc1b875d3c50001260cb0;3;0;3;4;4;4;3;3;4;
5aabc1b875d3c50001260cb0;3;1;4;4;3;3;4;5;4;
5aabc1b875d3c50001260cb0;3;2;4;3;3;2;3;4;4;
5af605e833b0ee00011e9f87;2;0;1;2;1;2;3;3;4;
5af605e833b0ee00011e9f87;2;1;2;2;1;3;2;3;5;
5af605e833b0ee00011e9f87;2;2;2;3;2;3;3;3;4;
5af605e833b0ee00011e9f87;3;0;2;2;2;3;3;3;3;
5af605e833b0ee00011e9f87;3;1;3;4;4;4;3;3;4;
5af605e833b0ee00011e9f87;3;2;3;3;4;4;3;4;4;
61222d4342138f097de1b542;2;0;3;1;2;2;1;3;2;
61222d4342138f097de1b542;2;1;2;2;2;2;1;3;3;
61222d4342138f097de1b542;2;2;2;2;2;2;2;3;3;
61222d4342138f097de1b542;3;0;2;2;2;2;2;3;4;
61222d4342138f097de1b542;3;1;2;2;2;2;1;3;3;
61222d4342138f097de1b542;3;2;2;1;1;2;1;3;2;
NONE;2;0;3;2;3;1;3;4;4;
NONE;2;1;3;4;5;4;4;3;3;
NONE;2;2;4;4;5;4;4;4;4;
NONE;4;0;3;3;3;3;3;3;3;
NONE;4;1;4;4;4;4;4;4;4;
NONE;4;2;4;4;4;4;4;4;4;
63b6be975097f6e31872fc0e;2;0;2;1;2;2;2;5;5;
63b6be975097f6e31872fc0e;2;1;4;4;4;5;4;4;5;
63b6be975097f6e31872fc0e;2;2;2;2;1;2;3;5;5;
63b6be975097f6e31872fc0e;4;0;2;3;2;2;3;5;5;
63b6be975097f6e31872fc0e;4;1;3;4;4;4;4;5;5;
63b6be975097f6e31872fc0e;4;2;2;2;1;2;3;4;5;
5ec77f86093c7a1b0794ae52;2;0;2;5;2;3;2;3;4;
5ec77f86093c7a1b0794ae52;2;1;4;4;2;3;2;3;2;
5ec77f86093c7a1b0794ae52;2;2;3;3;2;3;3;3;4;
5ec77f86093c7a1b0794ae52;4;0;3;4;3;3;2;2;3;
5ec77f86093c7a1b0794ae52;4;1;4;4;3;3;3;2;2;
5ec77f86093c7a1b0794ae52;4;2;4;4;2;3;2;2;3;
5f96dfa07e7693066355ed6d;2;0;2;3;2;1;1;2;4;
5f96dfa07e7693066355ed6d;2;1;2;2;2;2;2;2;4;
5f96dfa07e7693066355ed6d;2;2;2;3;2;2;2;2;4;
5f96dfa07e7693066355ed6d;5;0;2;1;2;2;1;2;4;
5f96dfa07e7693066355ed6d;5;1;2;2;2;2;2;2;4;
5f96dfa07e7693066355ed6d;5;2;2;1;2;2;2;2;4;
6017d6d3fdf985a339ea5e52;2;0;2;2;2;2;3;3;5;
6017d6d3fdf985a339ea5e52;2;1;2;2;2;3;2;5;5;
6017d6d3fdf985a339ea5e52;2;2;2;2;3;2;2;3;5;
6017d6d3fdf985a339ea5e52;5;0;3;3;3;3;2;5;5;
6017d6d3fdf985a339ea5e52;5;1;3;3;3;3;2;5;5;
6017d6d3fdf985a339ea5e52;5;2;3;4;3;3;3;5;5;
6543b010533263a8972f888a;2;0;1;1;4;3;2;4;4;
6543b010533263a8972f888a;2;1;1;2;4;2;2;5;4;
6543b010533263a8972f888a;2;2;1;1;4;2;2;5;4;
6543b010533263a8972f888a;5;0;2;1;4;2;1;5;4;
6543b010533263a8972f888a;5;1;2;1;4;2;1;5;4;
6543b010533263a8972f888a;5;2;2;1;4;2;1;5;4;
615cc4ecf52463a34a7fd34a;3;0;3;4;2;2;2;4;5;
615cc4ecf52463a34a7fd34a;3;1;3;4;3;3;4;4;5;
615cc4ecf52463a34a7fd34a;3;2;3;2;3;3;2;3;5;
615cc4ecf52463a34a7fd34a;4;0;2;4;3;2;2;3;5;
615cc4ecf52463a34a7fd34a;4;1;3;4;4;3;4;3;5;
615cc4ecf52463a34a7fd34a;4;2;4;5;4;4;4;4;5;
60e0675ef11003151efea149;3;0;1;2;1;2;1;4;5;
60e0675ef11003151efea149;3;1;1;2;2;2;2;3;4;
60e0675ef11003151efea149;3;2;2;3;3;3;2;3;4;
60e0675ef11003151efea149;4;0;3;4;4;3;3;4;3;
60e0675ef11003151efea149;4;1;3;4;4;4;4;4;3;
60e0675ef11003151efea149;4;2;4;4;4;4;4;3;4;
6548f708849aaf35e98f6c8d;3;0;2;2;2;3;2;2;4;
6548f708849aaf35e98f6c8d;3;1;4;4;3;3;3;4;4;
6548f708849aaf35e98f6c8d;3;2;3;3;3;3;3;3;4;
6548f708849aaf35e98f6c8d;4;0;3;4;3;3;4;4;4;
6548f708849aaf35e98f6c8d;4;1;2;2;3;3;2;2;2;
6548f708849aaf35e98f6c8d;4;2;3;3;2;3;3;2;3;
6107c37039455155fc3583d8;3;0;4;2;5;4;4;4;5;
6107c37039455155fc3583d8;3;1;3;2;4;2;3;3;4;
6107c37039455155fc3583d8;3;2;4;5;4;3;5;4;2;
6107c37039455155fc3583d8;5;0;3;4;4;4;3;3;4;
6107c37039455155fc3583d8;5;1;2;3;3;3;3;3;3;
6107c37039455155fc3583d8;5;2;4;3;3;2;4;4;4;
61693c754827d0e35885a4ea;3;0;2;1;1;1;1;1;3;
61693c754827d0e35885a4ea;3;1;2;2;2;2;2;3;2;
61693c754827d0e35885a4ea;3;2;2;1;3;2;1;1;1;
61693c754827d0e35885a4ea;5;0;1;2;2;1;2;2;1;
61693c754827d0e35885a4ea;5;1;1;3;3;1;2;3;2;
61693c754827d0e35885a4ea;5;2;1;2;3;1;2;3;1;
5e31d1c2829e3803bde39c7f;3;0;1;1;1;1;1;1;5;
5e31d1c2829e3803bde39c7f;3;1;1;1;1;1;1;1;5;
5e31d1c2829e3803bde39c7f;3;2;1;3;3;1;2;3;5;
5e31d1c2829e3803bde39c7f;5;0;2;2;1;2;3;2;5;
5e31d1c2829e3803bde39c7f;5;1;2;2;2;2;2;2;5;
5e31d1c2829e3803bde39c7f;5;2;3;3;2;3;3;4;5;
608c3c5e1cf6e05149f36b6a;4;0;2;3;1;2;3;1;5;
608c3c5e1cf6e05149f36b6a;4;1;2;2;3;2;3;2;5;
608c3c5e1cf6e05149f36b6a;4;2;1;1;2;2;2;1;4;
608c3c5e1cf6e05149f36b6a;5;0;1;1;1;2;2;1;4;
608c3c5e1cf6e05149f36b6a;5;1;1;2;2;2;2;2;4;
608c3c5e1cf6e05149f36b6a;5;2;1;2;2;1;1;1;4;
NONE;4;0;2;2;3;2;3;3;4;
NONE;4;1;3;3;3;3;3;4;4;
NONE;4;2;5;5;4;4;4;5;4;
NONE;5;0;2;2;3;2;3;4;4;
NONE;5;1;3;3;3;3;3;4;4;
NONE;5;2;4;4;4;4;3;5;5;
NONE;1;0;3;4;2;2;3;3;1;
NONE;1;1;5;4;5;2;4;4;4;
NONE;1;2;2;3;4;2;4;2;4;
NONE;3;0;2;2;2;2;3;2;1;
NONE;3;1;3;4;4;3;4;3;4;
NONE;3;2;3;3;2;2;3;2;2;
NONE;2;0;2;3;5;4;4;4;5;
NONE;2;1;2;2;4;2;4;2;3;
NONE;2;2;2;3;4;3;4;3;3;
NONE;4;0;1;3;3;2;4;2;2;
NONE;4;1;4;4;3;4;4;4;3;
NONE;4;2;2;3;4;3;4;2;2;
NONE;1;0;1;3;2;2;2;3;4;
NONE;1;1;3;3;4;3;3;4;4;
NONE;1;2;4;4;4;5;4;5;4;
NONE;2;0;2;1;3;2;3;4;4;
NONE;2;1;3;3;3;4;3;4;4;
NONE;2;2;5;5;4;5;4;4;4;
NONE;1;0;2;1;2;1;2;3;3;
NONE;1;1;2;3;3;3;2;3;4;
NONE;1;2;3;4;3;4;3;4;4;
NONE;2;0;2;2;3;2;1;3;4;
NONE;2;1;2;3;3;3;2;4;4;
NONE;2;2;5;4;4;5;3;5;4;
NONE;1;0;1;2;3;2;2;4;5;
NONE;1;1;2;3;3;2;3;4;4;
NONE;1;2;4;4;3;4;4;4;5;
NONE;2;0;2;1;1;1;2;4;4;
NONE;2;1;3;3;3;3;3;4;4;
NONE;2;2;4;4;4;4;3;4;4;
NONE;1;0;2;2;3;4;3;3;5;
NONE;1;1;3;3;4;4;3;4;5;
NONE;1;2;2;3;3;3;3;3;5;
NONE;5;0;4;3;3;3;2;4;5;
NONE;5;1;4;3;5;4;4;3;4;
NONE;5;2;4;3;3;4;3;4;4;
NONE;1;0;1;1;2;1;2;2;3;
NONE;1;1;2;2;3;2;3;3;4;
NONE;1;2;5;5;3;5;3;5;5;
NONE;2;0;2;1;3;1;3;2;4;
NONE;2;1;2;2;3;2;2;2;4;
NONE;2;2;5;5;3;5;3;5;5;
none;4;0;2;2;3;1;3;2;4;
none;4;1;1;2;3;2;2;2;4;
none;4;2;4;5;3;4;3;5;5;
none;5;0;2;1;3;1;3;2;5;
none;5;1;2;2;3;2;3;3;4;
none;5;2;5;5;3;5;3;5;5;
None;3;0;1;2;3;1;3;2;3;
None;3;1;3;3;3;3;3;3;4;
None;3;2;4;4;3;5;3;5;5;
None;4;0;2;2;4;2;3;2;4;
None;4;1;3;3;3;2;3;3;4;
None;4;2;4;5;3;5;2;4;5;
NONE;4;0;1;2;4;2;3;1;5;
NONE;4;1;2;2;3;2;3;3;5;
NONE;4;2;4;4;3;4;3;4;5;
NONE;5;0;2;1;3;2;3;2;5;
NONE;5;1;3;3;3;2;3;2;5;
NONE;5;2;4;5;3;5;3;4;5;
none;2;0;2;2;3;2;3;2;5;
none;2;1;3;3;3;2;3;3;5;
none;2;2;4;4;3;4;3;5;5;
none;5;0;2;2;2;2;3;2;5;
none;5;1;1;3;3;2;2;2;5;
none;5;2;4;4;2;4;3;5;5;
none;2;0;1;2;3;2;4;3;4;
none;2;1;2;3;3;2;3;3;4;
none;2;2;4;5;2;4;2;4;4;
none;4;0;2;2;4;2;3;3;4;
none;4;1;2;3;3;3;3;3;5;
none;4;2;4;5;3;4;3;5;4;
